Date,Origin,Destination
7/24/2011,Créteil,Paris
7/3/2010,Rotterdam,Rotterdam
7/4/2010,Rotterdam,Brussels
7/5/2010,Brussels,Spa
7/6/2010,Wanze,Arenberg Porte du Hainaut
7/7/2010,Cambrai,Reims
7/8/2010,Épernay,Montargis
7/9/2010,Montargis,Gueugnon
7/10/2010,Tournus,Station des Rousses
7/11/2010,Station des Rousses,Morzine-Avoriaz
7/13/2010,Morzine-Avoriaz,Saint-Jean-de-Maurienne
7/14/2010,Chambéry,Gap
7/15/2010,Sisteron,Bourg-lès-Valence
7/16/2010,Bourg-de-Péage,Mende
7/17/2010,Rodez,Revel
7/18/2010,Revel,Ax 3 Domaines
7/19/2010,Pamiers,Bagnères-de-Luchon
7/20/2010,Bagnères-de-Luchon,Pau
7/22/2010,Pau,Col du Tourmalet
7/23/2010,Salies-de-Béarn,Bordeaux
7/24/2010,Bordeaux,Pauillac
7/25/2010,Longjumeau,Paris
7/4/2009,Monaco,Monaco
7/5/2009,Monaco,Brignoles
7/6/2009,Marseille,La Grande-Motte
7/7/2009,Montpellier,Montpellier
7/8/2009,Cap d'Agde,Perpignan
7/9/2009,Girona,Barcelona
7/10/2009,Barcelona,Andorra-Arcalis
7/11/2009,Andorra la Vella,Saint-Girons
7/12/2009,Saint-Gaudens,Tarbes
7/14/2009,Limoges,Issoudun
7/15/2009,Vatan,Saint-Fargeau
7/16/2009,Tonnerre,Vittel
7/17/2009,Vittel,Colmar
7/18/2009,Colmar,Besançon
7/19/2009,Pontarlier,Verbier
7/21/2009,Martigny,Bourg-Saint-Maurice
7/22/2009,Bourg-Saint-Maurice,Le Grand-Bornand
7/23/2009,Annecy,Annecy
7/24/2009,Bourgoin-Jallieu,Aubenas
7/25/2009,Montélimar,Mont Ventoux
7/26/2009,Montereau-Fault-Yonne,Paris
7/5/2008,Brest,Plumelec
7/6/2008,Auray,Saint-Brieuc
7/7/2008,Saint-Malo,Nantes
7/8/2008,Cholet,Cholet
7/9/2008,Cholet,Châteauroux
7/10/2008,Aigurande,Super-Besse Sancy
7/11/2008,Brioude,Aurillac
7/12/2008,Figeac,Toulouse
7/13/2008,Toulouse,Bagnères-de-Bigorre
7/14/2008,Pau,Hautacam
7/16/2008,Lannemezan,Foix
7/17/2008,Lavelanet,Narbonne
7/18/2008,Narbonne,Nîmes
7/19/2008,Nîmes,Digne-les-Bains
7/20/2008,Embrun,Prato Nevoso
7/22/2008,Cuneo,Jausiers
7/23/2008,Embrun,Alpe d'Huez
7/24/2008,Bourg-d'Oisans,Saint-Étienne
7/25/2008,Roanne,Montluçon
7/26/2008,Cérilly,Saint-Amand-Montrond
7/27/2008,Étampes,Paris
7/7/2007,London,London
7/8/2007,London,Canterbury
7/9/2007,Dunkirk,Ghent
7/10/2007,Waregem - Compiègne,Waregem - Compiègne
7/11/2007,Villers-Cotterêts,Joigny
7/12/2007,Chablis,Autun
7/13/2007,Semur-en-Auxois,Bourg-en-Bresse
7/14/2007,Bourg-en-Bresse,Le Grand-Bornand
7/15/2007,Le Grand-Bornand,Tignes
7/17/2007,Val-d'Isère,Briançon
7/18/2007,Tallard,Marseille
7/19/2007,Marseille,Montpellier
7/20/2007,Montpellier,Castres
7/21/2007,Albi,Albi
7/22/2007,Mazamet,Plateau-de-Beille
7/23/2007,Foix,Loudenvielle
7/25/2007,Orthez,Gourette–Col d'Aubisque
7/26/2007,Pau,Castelsarrasin
7/27/2007,Cahors,Angoulême
7/28/2007,Cognac,Angoulême
7/29/2007,Marcoussis,Paris
7/1/2006,Strasbourg,Strasbourg
7/2/2006,Strasbourg,Strasbourg
7/3/2006,Obernai,Esch-sur-Alzette
7/4/2006,Esch-sur-Alzette,Valkenburg
7/5/2006,Huy,Saint-Quentin
7/6/2006,Beauvais,Caen
7/7/2006,Lisieux,Vitré
7/8/2006,Saint Grégoire,Rennes
7/9/2006,Saint-Méen-le-Grand,Lorient
7/11/2006,Bordeaux,Dax
7/12/2006,Cambo-les-Bains,Pau
7/13/2006,Tarbes,Val d'Aran/Pla-de-Beret
7/14/2006,Luchon,Carcassonne
7/15/2006,Béziers,Montélimar
7/16/2006,Montélimar,Gap
7/18/2006,Gap,Alpe d'Huez
7/19/2006,Le Bourg-d'Oisans,La Toussuire
7/20/2006,Saint-Jean-de-Maurienne,Morzine
7/21/2006,Morzine,Mâcon
7/22/2006,Le Creusot,Montceau-les-Mines
7/23/2006,Antony/Parc de Sceaux,Paris
7/2/2005,Fromentine,Noirmoutier-en-l'Île
7/3/2005,Challans,Les Essarts
7/4/2005,La Châtaigneraie,Tours
7/5/2005,Tours,Blois
7/6/2005,Chambord,Montargis
7/7/2005,Troyes,Nancy
7/8/2005,Lunéville,Karlsruhe
7/9/2005,Pforzheim,Gérardmer
7/10/2005,Gérardmer,Mulhouse
7/12/2005,Grenoble,Courchevel
7/13/2005,Courchevel,Briançon
7/14/2005,Briançon,Digne-les-Bains
7/15/2005,Miramas,Montpellier
7/16/2005,Agde,Ax 3 Domaines
7/17/2005,Lézat-sur-Lèze,Saint-Lary-Soulan Pla d'Adet
7/19/2005,Mourenx,Pau
7/20/2005,Pau,Revel
7/21/2005,Albi,Mende
7/22/2005,Issoire,Le Puy-en-Velay
7/23/2005,Saint-Étienne,Saint-Étienne
7/24/2005,Corbeil-Essonnes,Paris
