Date,Origin,Destination
7/24/1987,Saint-Julien-en-Genevois,Dijon
7/25/1987,Dijon,Dijon
7/26/1987,Créteil,Paris
7/4/1986,Boulogne-Billancourt,Boulogne-Billancourt
7/5/1986,Nanterre,Sceaux
7/5/1986,Meudon,Saint-Quentin-en-Yvelines
7/6/1986,Levallois-Perret,Liévin
7/7/1986,Liévin,Évreux
7/8/1986,Evreux,Villers-sur-Mer
7/9/1986,Villers-sur-Mer,Cherbourg
7/10/1986,Cherbourg,Saint-Hilaire-du-Harcouët
7/11/1986,Saint-Hilaire-du-Harcouët,Nantes
7/12/1986,Nantes,Nantes
7/13/1986,Nantes,Futuroscope
7/14/1986,Futuroscope,Bordeaux
7/15/1986,Bayonne,Pau
7/16/1986,Pau,Superbagnères
7/17/1986,Superbagnères,Blagnac
7/18/1986,Carcassonne,Nîmes
7/19/1986,Nîmes,Gap
7/20/1986,Gap,Serre Chevalier
7/21/1986,Briançon,Alpe d'Huez
7/23/1986,Villard-de-Lans,Saint-Étienne
7/24/1986,Saint-Étienne,Saint-Étienne
7/25/1986,Saint-Étienne,Puy de Dôme
7/26/1986,Clermont-Ferrand,Nevers
7/27/1986,Cosne-sur-Loire,Paris
6/28/1985,Plumelec,Plumelec
6/29/1985,Vannes,Lanester
6/30/1985,Lorient,Vitre
7/1/1985,Vitre,Fougères
7/2/1985,Fougères,Pont-Audemer
7/3/1985,Neufchâtel-en-Bray,Roubaix
7/4/1985,Roubaix,Reims
7/5/1985,Reims,Nancy
7/6/1985,Sarrebourg,Strasbourg
7/7/1985,Strasbourg,Épinal
7/8/1985,Épinal,Pontarlier
7/9/1985,Pontarlier,Morzine Avoriaz
7/10/1985,Morzine Avoriaz,Lans-en-Vercors
7/11/1985,Villard-de-Lans,Villard-de-Lans
7/13/1985,Autrans,Saint-Étienne
7/14/1985,Saint-Étienne,Aurillac
7/15/1985,Aurillac,Toulouse
7/16/1985,Toulouse,Luz Ardiden
7/17/1985,Luz-Saint-Sauveur,Aubisque
7/17/1985,Laruns,Pau
7/18/1985,Pau,Bordeaux
7/19/1985,Montpon-Ménestérol,Limoges
7/20/1985,Lac de Vassivière,Lac de Vassivière
7/21/1985,Orléans,Paris
6/29/1984,Montreuil,Noisy-le-Sec
6/30/1984,Bondy,Saint-Denis
7/1/1984,Bobigny,Louvroil
7/2/1984,Louvroil,Valenciennes
7/2/1984,Valenciennes,Béthune
7/3/1984,Béthune,Cergy-Pontoise
7/4/1984,Cergy-Pontoise,Alençon
7/5/1984,Alençon,Le Mans
7/6/1984,Le Mans,Nantes
7/7/1984,Nantes,Bordeaux
7/8/1984,Langon,Pau
7/9/1984,Pau,Guzet-Neige
7/10/1984,Saint-Girons,Blagnac
7/11/1984,Blagnac,Rodez
7/12/1984,Rodez,Domaine du Rouret
7/13/1984,Domaine du Rouret,Grenoble
7/15/1984,Les Échelles,La Ruchère
7/16/1984,Grenoble,Alpe d'Huez
7/17/1984,Le Bourg-d'Oisans,La Plagne
7/18/1984,La Plagne,Morzine
7/19/1984,Morzine,Crans-Montana
7/20/1984,Crans-Montana,Villefranche-sur-Saône
7/21/1984,Villié-Morgon,Villefranche-sur-Saône
7/22/1984,Pantin,Paris
7/1/1983,Fontenay-sous-Bois,Fontenay-sous-Bois
7/2/1983,Nogent-sur-Marne,Créteil
7/3/1983,Soissons,Fontaine-au-Pire
7/4/1983,Valenciennes,Roubaix
7/5/1983,Roubaix,Le Havre
7/6/1983,Le Havre,Le Mans
7/7/1983,Châteaubriant,Nantes
7/8/1983,Nantes,Île d'Oléron
7/9/1983,La Rochelle,Bordeaux
7/10/1983,Bordeaux,Pau
7/11/1983,Pau,Bagnères-de-Luchon
7/12/1983,Bagnères-de-Luchon,Fleurance
7/13/1983,Fleurance,Roquefort-sur-Soulzon
7/14/1983,Roquefort-sur-Soulzon,Aurillac
7/15/1983,Aurillac,Issoire
7/16/1983,Clermont-Ferrand,Puy de Dôme
7/17/1983,Issoire,Saint-Étienne
7/18/1983,La Tour-du-Pin,Alpe d'Huez
7/20/1983,Le Bourg-d'Oisans,Morzine
7/21/1983,Morzine,Avoriaz
7/22/1983,Morzine,Dijon
7/23/1983,Dijon,Dijon
7/24/1983,Alfortville,Paris
7/2/1982,Basel,Basel
7/3/1982,Basel,Möhlin
7/4/1982,Basel,Nancy
7/5/1982,Nancy,Longwy
7/6/1982,Beauraing,Mouscron
7/7/1982,Orchies,Fontaine-au-Pire
7/8/1982,Lille,Lille
7/10/1982,Cancale,Concarneau
7/11/1982,Concarneau,Châteaulin
7/12/1982,Lorient,Plumelec
7/12/1982,Plumelec,Nantes
7/13/1982,Saintes,Bordeaux
7/14/1982,Valence d'Agen,Valence d'Agen
7/15/1982,Fleurance,Pau
7/16/1982,Pau,Saint-Lary-Soulan Pla d'Adet
7/18/1982,Martigues,Martigues
7/19/1982,Manosque,Orcières-Merlette
7/20/1982,Orcières-Merlette,Alpe d'Huez
7/21/1982,Le Bourg-d'Oisans,Morzine
7/22/1982,Morzine,Saint-Priest
7/23/1982,Saint-Priest,Saint-Priest
7/24/1982,Sens,Aulnay-sous-Bois
7/25/1982,Fontenay-sous-Bois,Paris
6/25/1981,Nice,Nice
6/26/1981,Nice,Nice
6/26/1981,Nice,Nice
6/27/1981,Nice,Martigues
6/28/1981,Martigues,Narbonne
6/29/1981,Narbonne,Carcassonne
6/30/1981,Saint-Gaudens,Pla d'Adet
7/1/1981,Nay,Pau
7/2/1981,Pau,Bordeaux
7/3/1981,Rochefort,Nantes
7/5/1981,Nantes,Le Mans
7/6/1981,Le Mans,Aulnay-sous-Bois
7/7/1981,Compiègne,Roubaix
7/8/1981,Roubaix,Brussels
7/8/1981,Brussels,Circuit Zolder
7/9/1981,Beringen,Hasselt
7/10/1981,Mulhouse,Mulhouse
7/11/1981,Besançon,Thonon-les-Bains
7/12/1981,Thonon-les-Bains,Morzine
7/14/1981,Morzine,Alpe d'Huez
7/15/1981,Le Bourg-d'Oisans,Le Pleynet
7/16/1981,Veurey,Saint-Priest
7/17/1981,Saint-Priest,Saint-Priest
7/18/1981,Auxerre,Fontenay-sous-Bois
7/19/1981,Fontenay-sous-Bois,Paris
6/26/1980,Frankfurt,Frankfurt
6/27/1980,Frankfurt,Wiesbaden
6/27/1980,Wiesbaden,Frankfurt
6/28/1980,Frankfurt,Metz
6/29/1980,Metz,Liège
6/30/1980,Spa,Spa
7/1/1980,Liège,Lille
7/2/1980,Lille,Compiègne
7/3/1980,Compiègne,Beauvais
7/3/1980,Beauvais,Rouen
7/4/1980,Flers,Saint-Malo
7/6/1980,Saint-Malo,Nantes
7/7/1980,Rochefort,Bordeaux
7/8/1980,Damazan,Laplume
7/9/1980,Agen,Pau
7/10/1980,Pau,Bagnères-de-Luchon
7/11/1980,Lézignan-Corbières,Montpellier
7/12/1980,Montpellier,Martigues
7/13/1980,Trets,Pra-Loup
7/14/1980,Serre Chevalier,Morzine
7/16/1980,Morzine,Prapoutel
7/17/1980,Voreppe,Saint-Étienne
7/18/1980,Saint-Étienne,Saint-Étienne
7/19/1980,Auxerre,Fontenay-sous-Bois
7/20/1980,Fontenay-sous-Bois,Paris
6/27/1979,Fleurance,Fleurance
6/28/1979,Fleurance,Luchon
6/29/1979,Luchon,Superbagnères
6/30/1979,Luchon,Pau
7/1/1979,Captieux,Bordeaux
7/2/1979,Neuville-de-Poitou,Angers
7/3/1979,Angers,Saint-Brieuc
7/4/1979,Saint-Hilaire-du-Harcouët,Deauville
7/5/1979,Deauville,Le Havre
7/6/1979,Amiens,Roubaix
7/7/1979,Roubaix,Brussels
7/8/1979,Brussels,Brussels
7/9/1979,Rochefort,Metz
7/10/1979,Metz,Ballon d'Alsace
7/11/1979,Belfort,Évian-les-Bains
7/12/1979,Évian-les-Bains,Morzine Avoriaz
7/13/1979,Morzine Avoriaz,Les Menuires
7/15/1979,Les Menuires,Alpe d'Huez
7/16/1979,Alpe d'Huez,Alpe d'Huez
7/17/1979,Alpe d'Huez,Saint-Priest
7/18/1979,Saint-Priest,Dijon
7/19/1979,Dijon,Dijon
7/20/1979,Dijon,Auxerre
7/21/1979,Auxerre,Nogent-sur-Marne
7/22/1979,Le Perreux-sur-Marne,Paris
6/29/1978,Leiden,Leiden
6/30/1978,Leiden,Sint Willebrord
6/30/1978,Sint Willebrord,Brussels
7/1/1978,Brussels,Saint-Amand-les-Eaux
7/2/1978,Saint-Amand-les-Eaux,Saint-Germain-en-Laye
7/3/1978,Évreux,Caen
7/4/1978,Caen,Mazé-Montgeoffroy
7/5/1978,Mazé-Montgeoffroy,Poitiers
7/6/1978,Poitiers,Bordeaux
7/7/1978,Saint-Émilion,Sainte-Foy-la-Grande
7/8/1978,Bordeaux,Biarritz
7/10/1978,Biarritz,Pau
7/11/1978,Pau,Saint-Lary-Soulan Pla d'Adet
7/12/1978,Tarbes,Valence d'Agen
7/12/1978,Valence d'Agen,Toulouse
7/13/1978,Figeac,Super Besse
7/14/1978,Besse-en-Chandesse,Puy de Dôme
7/15/1978,Saint-Dier-d'Auvergne,Saint-Étienne
7/16/1978,St-Étienne,Alpe d'Huez
7/18/1978,Grenoble,Morzine
7/19/1978,Morzine,Lausanne
7/20/1978,Lausanne,Belfort
7/21/1978,Metz,Nancy
7/22/1978,Epernay,Senlis
7/23/1978,Saint Germain en Laye,Paris
6/30/1977,Fleurance,Fleurance
7/1/1977,Fleurance,Auch
7/2/1977,Auch,Pau
7/3/1977,Oloron-Sainte-Marie,Vitoria-Gasteiz
7/4/1977,Vitoria-Gasteiz,Seignosse le Penon
7/5/1977,Morcenx,Bordeaux
7/5/1977,Bordeaux,Bordeaux
7/7/1977,Bordeaux,Limoges
7/8/1977,Jaunay-Clan,Angers
7/8/1977,Angers,Angers
7/9/1977,Angers,Lorient
7/10/1977,Lorient,Rennes
7/11/1977,Bagnoles-de-l'Orne,Rouen
7/12/1977,Rouen,Roubaix
7/13/1977,Roubaix,Charleroi
7/14/1977,Freiburg,Freiburg
7/14/1977,Altkirch ,Besançon
7/16/1977,Besançon,Thonon-les-Bains
7/17/1977,Thonon-les-Bains,Morzine
7/17/1977,Morzine,Avoriaz
7/18/1977,Morzine,Chamonix
7/19/1977,Chamonix,Alpe d'Huez
7/20/1977,Rossignol Voiron,Saint-Étienne
7/21/1977,Saint-Trivier-sur-Moignans,Dijon
7/22/1977,Dijon,Dijon
7/23/1977,Montereau-Fault-Yonne,Versailles
7/24/1977,Paris,Paris
7/24/1977,Paris,Paris
6/24/1976,Saint-Jean-de-Monts,Saint-Jean-de-Monts
6/25/1976,Saint-Jean-de-Monts,Angers
6/26/1976,Angers,Caen
6/27/1976,Le Touquet-Paris-Plage,Le Touquet-Paris-Plage
6/28/1976,Le Touquet-Paris-Plage,Bornem
6/29/1976,Leuven,Leuven
6/29/1976,Leuven,Verviers
6/30/1976,Bastogne,Nancy
7/1/1976,Nancy,Mulhouse
7/2/1976,Valentigney,Divonne-les-Bains
7/4/1976,Divonne-les-Bains,Alpe d'Huez
7/5/1976,Le Bourg-d'Oisans,Montgenèvre
7/6/1976,Montgenèvre,Manosque
7/8/1976,Le Barcarès,Pyrénées 2000
7/9/1976,Font-Romeu-Odeillo-Via,Saint-Gaudens
7/10/1976,Saint-Gaudens,Saint-Lary-Soulan
7/11/1976,Saint-Lary-Soulan,Pau
7/12/1976,Pau,Fleurance
7/13/1976,Fleurance,Auch
7/14/1976,Auch,Langon
7/14/1976,Langon,Lacanau
7/14/1976,Lacanau,Bordeaux
7/15/1976,Sainte-Foy-la-Grande,Tulle
7/16/1976,Tulle,Puy de Dôme
7/17/1976,Montargis,Versailles
7/18/1976,Paris,Paris
7/18/1976,Paris,Paris
6/26/1975,Charleroi,Charleroi
6/27/1975,Charleroi,Molenbeek
6/27/1975,Molenbeek,Roubaix
6/28/1975,Roubaix,Amiens
6/29/1975,Amiens,Versailles
6/30/1975,Versailles,Le Mans
7/2/1975,Sablé-sur-Sarthe,Merlin-Plage
7/2/1975,Merlin-Plage,Merlin-Plage
7/3/1975,Saint-Gilles-Croix-de-Vie,Angoulême
7/4/1975,Angoulême,Bordeaux
7/5/1975,Langon,Fleurance
7/5/1975,Fleurance,Auch
7/7/1975,Auch,Pau
7/8/1975,Pau,Saint-Lary-Soulan Pla d'Adet
7/9/1975,Tarbes,Albi
7/10/1975,Albi,Super-Lioran
7/11/1975,Aurillac,Puy de Dôme
7/13/1975,Nice,Pra-Loup
7/14/1975,Barcelonnette,Serre Chevalier
7/15/1975,Valloire,Morzine Avoriaz
7/16/1975,Morzine,Châtel
7/17/1975,Thonon-les-Bains,Chalon-sur-Saône
7/18/1975,Pouilly-en-Auxois,Melun
7/19/1975,Melun,Senlis
7/20/1975,Paris,Paris
6/27/1974,Brest,Brest
6/28/1974,Brest,Saint-Pol-de-Léon
6/29/1974,Plymouth,Plymouth
6/30/1974,Morlaix,Saint-Malo
7/1/1974,Saint-Malo,Caen
7/2/1974,Caen,Dieppe
7/3/1974,Dieppe,Harelbeke
7/3/1974,Harelbeke,Harelbeke
7/4/1974,Mons,Châlons-sur-Marne
7/5/1974,Châlons-sur-Marne,Chaumont
7/5/1974,Chaumont,Besançon
7/6/1974,Besançon,Gaillard
7/7/1974,Gaillard,Aix-les-Bains
7/8/1974,Aix-les-Bains,Serre Chevalier
7/10/1974,Savines-le-Lac,Orange
7/11/1974,Avignon,Montpellier
7/12/1974,Lodève,Colomiers
7/14/1974,Colomiers,La Seu d'Urgell
7/15/1974,La Seu d'Urgell,Saint-Lary-Soulan Pla d'Adet
7/16/1974,Saint-Lary-Soulan,La Mongie
7/17/1974,Bagnères-de-Bigorre,Pau
7/18/1974,Pau,Bordeaux
7/18/1974,Bordeaux,Bordeaux
7/19/1974,Saint-Gilles-Croix-de-Vie,Nantes
7/20/1974,Vouvray,Orléans
7/20/1974,Orléans,Orléans
7/21/1974,Orléans,Paris
6/30/1973,Scheveningen,Scheveningen
7/1/1973,Scheveningen,Rotterdam
7/1/1973,Rotterdam,Sint-Niklaas
7/2/1973,Sint-Niklaas,Sint-Niklaas
7/2/1973,Sint-Niklaas,Roubaix
7/3/1973,Roubaix,Reims
7/4/1973,Reims,Nancy
7/5/1973,Nancy,Mulhouse
7/6/1973,Mulhouse,Divonne-les-Bains
7/8/1973,Divonne-les-Bains,Gaillard
7/8/1973,Gaillard,Méribel
7/9/1973,Moûtiers,Les Orres
7/10/1973,Embrun,Nice
7/11/1973,Nice,Aubagne
7/12/1973,Montpellier,Argelès-sur-Mer
7/13/1973,Perpignan,Thuir
7/13/1973,Thuir,Pyrénées 2000
7/15/1973,Bourg-Madame,Luchon
7/16/1973,Luchon,Pau
7/17/1973,Pau,Fleurance
7/18/1973,Fleurance,Bordeaux
7/18/1973,Bordeaux,Bordeaux
7/19/1973,Sainte-Foy-la-Grande,Brive-la-Gaillarde
7/20/1973,Brive-la-Gaillarde,Puy de Dôme
7/21/1973,Bourges,Versailles
7/22/1973,Versailles,Versailles
7/22/1973,Versailles,Paris
7/1/1972,Angers,Angers
7/2/1972,Angers,Saint-Brieuc
7/3/1972,Saint-Brieuc,La Baule
7/4/1972,Pornichet,Saint-Jean-de-Monts
7/4/1972,Merlin-Plage,Merlin-Plage
7/5/1972,Merlin-Plage,Royan
7/6/1972,Royan,Bordeaux
7/6/1972,Bordeaux,Bordeaux
7/7/1972,Bordeaux,Bayonne
7/9/1972,Bayonne,Pau
7/10/1972,Pau,Luchon
7/11/1972,Luchon,Colomiers
7/12/1972,Castres,La Grande-Motte
7/13/1972,Carnon-Plage,Mont Ventoux
7/14/1972,Carpentras,Orcières
7/16/1972,Orcières,Briançon
7/17/1972,Briançon,Valloire
7/17/1972,Valloire,Aix-les-Bains
7/18/1972,Aix-les-Bains,Le Revard
7/19/1972,Aix-les-Bains,Pontarlier
7/20/1972,Pontarlier,Ballon d’Alsace
7/21/1972,Vesoul,Auxerre
7/22/1972,Auxerre,Versailles
7/23/1972,Versailles,Versailles
7/23/1972,Versailles,Paris
6/26/1971,Mulhouse,Mulhouse
6/27/1971,Mulhouse,Basel
6/27/1971,Basel,Freiburg
6/27/1971,Freiburg,Mulhouse
6/28/1971,Mulhouse,Strasbourg
6/29/1971,Strasbourg,Nancy
6/30/1971,Nancy,Marche-en-Famenne
7/1/1971,Dinant,Roubaix
7/2/1971,Roubaix,Amiens
7/2/1971,Amiens,Le Touquet
7/4/1971,Rungis,Nevers
7/5/1971,Nevers,Puy de Dôme
7/6/1971,Clermont-Ferrand,Saint-Étienne
7/7/1971,Saint-Étienne,Grenoble
7/8/1971,Grenoble,Orcières
7/10/1971,Orcières,Marseille
7/11/1971,Albi,Albi
7/12/1971,Revel,Luchon
7/13/1971,Luchon,Superbagnères
7/14/1971,Luchon,Gourette
7/14/1971,Gourette,Pau
7/15/1971,Mont-de-Marsan,Bordeaux
7/16/1971,Bordeaux,Poitiers
7/17/1971,Blois,Versailles
7/18/1971,Versailles,Paris
6/27/1970,Limoges,Limoges
6/27/1970,Limoges,La Rochelle
6/28/1970,La Rochelle,Angers
6/29/1970,Angers,Angers
6/29/1970,Angers,Rennes
6/30/1970,Rennes,Lisieux
7/1/1970,Lisieux,Rouen
7/1/1970,Rouen,Amiens
7/2/1970,Amiens,Valenciennes
7/3/1970,Valenciennes,Forest
7/3/1970,Forest,Forest
7/4/1970,Ciney,Felsberg
7/5/1970,Saarlouis,Mulhouse
7/6/1970,Belfort,Divonne-les-Bains
7/7/1970,Divonne-les-Bains,Divonne-les-Bains
7/7/1970,Divonne-les-Bains,Thonon-les-Bains
7/8/1970,Thonon-les-Bains,Grenoble
7/9/1970,Grenoble,Gap
7/10/1970,Gap,Mont Ventoux
7/11/1970,Carpentras,Montpellier
7/12/1970,Montpellier,Toulouse
7/13/1970,Toulouse,Saint-Gaudens
7/14/1970,Saint-Gaudens,La Mongie
7/15/1970,Bagnères-de-Bigorre,Mourenx
7/16/1970,Mourenx,Bordeaux
7/16/1970,Bordeaux,Bordeaux
7/17/1970,Ruffec,Tours
7/18/1970,Tours,Versailles
7/19/1970,Versailles,Paris
6/28/1969,Roubaix,Roubaix
6/29/1969,Roubaix,Sint-Pieters-Woluwe
6/29/1969,Sint-Pieters-Woluwe,Sint-Pieters-Woluwe
6/30/1969,Sint-Pieters-Woluwe,Maastricht
7/1/1969,Maastricht,Charleville-Mézières
7/2/1969,Charleville-Mézières,Nancy
7/3/1969,Nancy,Mulhouse
7/4/1969,Mulhouse,Ballon d’Alsace
7/5/1969,Belfort,Divonne-les-Bains
7/6/1969,Divonne-les-Bains,Divonne-les-Bains
7/6/1969,Divonne-les-Bains,Thonon-les-Bains
7/7/1969,Thonon-les-Bains,Chamonix
7/8/1969,Chamonix,Briançon
7/9/1969,Briançon,Digne
7/10/1969,Digne,Aubagne
7/11/1969,Aubagne,La Grande-Motte
7/12/1969,La Grande-Motte,Revel
7/13/1969,Revel,Revel
7/14/1969,Castelnaudary,Luchon
7/15/1969,Luchon,Mourenx
7/16/1969,Mourenx,Bordeaux
7/17/1969,Bordeaux,Brive
7/18/1969,Brive,Puy de Dôme
7/19/1969,Clermont-Ferrand,Montargis
7/20/1969,Montargis,Créteil
7/20/1969,Créteil,Paris
6/27/1968,Vittel,Vittel
6/28/1968,Vittel,Esch-sur-Alzette
6/29/1968,Arlon,Forest
6/30/1968,Forest,Forest
6/30/1968,Forest,Roubaix
7/1/1968,Roubaix,Rouen
7/2/1968,Rouen,Bagnoles-de-l'Orne
7/2/1968,Bagnoles-de-l'Orne,Dinard
7/3/1968,Dinard,Lorient
7/4/1968,Lorient,Nantes
7/5/1968,Nantes,Royan
7/7/1968,Royan,Bordeaux
7/8/1968,Bordeaux,Bayonne
7/9/1968,Bayonne,Pau
7/10/1968,Pau,Saint-Gaudens
7/11/1968,Saint-Gaudens,La Seu d'Urgell
7/12/1968,La Seu d'Urgell,Perpignan
7/14/1968,Font-Romeu-Odeillo-Via,Albi
7/15/1968,Albi,Aurillac
7/16/1968,Aurillac,Saint-Étienne
7/17/1968,Saint-Étienne,Grenoble
7/18/1968,Grenoble,Sallanches
7/19/1968,Sallanches,Besançon
7/20/1968,Besançon,Auxerre
7/21/1968,Auxerre,Melun
7/21/1968,Melun,Paris
6/29/1967,Angers,Angers
6/30/1967,Angers,Saint-Malo
7/1/1967,Saint-Malo,Caen
7/2/1967,Caen,Amiens
7/3/1967,Amiens,Roubaix
7/4/1967,Roubaix,Jambes
7/4/1967,Jambes,Jambes
7/5/1967,Jambes,Metz
7/6/1967,Metz,Strasbourg
7/7/1967,Strasbourg,Belfort/Ballon d’Alsace
7/9/1967,Belfort,Divonne-les-Bains
7/10/1967,Divonne-les-Bains,Briançon
7/11/1967,Briançon,Digne
7/12/1967,Digne,Marseille
7/13/1967,Marseille,Carpentras
7/14/1967,Carpentras,Sète
7/16/1967,Sète,Toulouse
7/17/1967,Toulouse,Luchon
7/18/1967,Luchon,Pau
7/19/1967,Pau,Bordeaux
7/20/1967,Bordeaux,Limoges
7/21/1967,Limoges,Puy de Dôme
7/22/1967,Clermont-Ferrand,Fontainebleau
7/23/1967,Fontainebleau,Versailles
7/23/1967,Versailles,Paris
6/21/1966,Nancy,Charleville
6/22/1966,Charleville,Tournai
6/23/1966,Tournai,Tournai
6/23/1966,Tournai,Dunkirk
6/24/1966,Dunkirk,Dieppe
6/25/1966,Dieppe,Caen
6/26/1966,Caen,Angers
6/27/1966,Angers,Royan
6/28/1966,Royan,Bordeaux
6/29/1966,Bordeaux,Bayonne
6/30/1966,Bayonne,Pau
7/1/1966,Pau,Luchon
7/3/1966,Luchon,Revel
7/4/1966,Revel,Sète
7/5/1966,Montpellier,Vals-les-Bains
7/5/1966,Vals-les-Bains,Vals-les-Bains
7/6/1966,Privas,Le Bourg-d'Oisans
7/7/1966,Le Bourg-d'Oisans,Briançon
7/8/1966,Briançon,Turin
7/10/1966,Ivrea,Chamonix
7/11/1966,Chamonix,Saint-Étienne
7/12/1966,Saint-Étienne,Montluçon
7/13/1966,Montluçon,Orléans
7/14/1966,Orléans,Rambouillet
7/14/1966,Rambouillet,Paris
6/22/1965,Cologne,Liège
6/22/1965,Liège,Liège
6/23/1965,Liège,Roubaix
6/24/1965,Roubaix,Rouen
6/25/1965,Caen,Saint-Brieuc
6/26/1965,Saint-Brieuc,Châteaulin
6/26/1965,Châteaulin,Châteaulin
6/27/1965,Quimper,La Baule
6/28/1965,La Baule,La Rochelle
6/29/1965,La Rochelle,Bordeaux
6/30/1965,Dax,Bagnères-de-Bigorre
7/1/1965,Bagnères-de-Bigorre,Ax-les-Thermes
7/2/1965,Ax-les-Thermes,Barcelona
7/4/1965,Barcelona,Perpignan
7/5/1965,Perpignan,Montpellier
7/6/1965,Montpellier,Mont Ventoux
7/7/1965,Carpentras,Gap
7/8/1965,Gap,Briançon
7/9/1965,Briançon,Aix-les-Bains
7/10/1965,Aix-les-Bains,Le Revard
7/11/1965,Aix-les-Bains,Lyon
7/12/1965,Lyon,Auxerre
7/13/1965,Auxerre,Versailles
7/14/1965,Versailles,Paris
6/22/1964,Rennes,Lisieux
6/23/1964,Lisieux,Amiens
6/24/1964,Amiens,Forest
6/24/1964,Forest,Forest
6/25/1964,Forest,Metz
6/26/1964,Lunéville,Freiburg
6/27/1964,Freiburg,Besançon
6/28/1964,Besançon,Thonon-les-Bains
6/29/1964,Thonon-les-Bains,Briançon
6/30/1964,Briançon,Monaco
7/1/1964,Monaco,Hyères
7/1/1964,Hyères,Toulon
7/2/1964,Toulon,Montpellier
7/3/1964,Montpellier,Perpignan
7/4/1964,Perpignan,Andorra
7/6/1964,Andorra,Toulouse
7/7/1964,Toulouse,Luchon
7/8/1964,Luchon,Pau
7/9/1964,Peyrehorade,Bayonne
7/10/1964,Bayonne,Bordeaux
7/11/1964,Bordeaux,Brive
7/12/1964,Brive,Puy de Dôme
7/13/1964,Clermont-Ferrand,Orléans
7/14/1964,Orléans,Versailles
7/14/1964,Versailles,Paris
6/23/1963,Paris,Épernay
6/24/1963,Reims,Jambes
6/24/1963,Jambes,Jambes
6/25/1963,Jambes,Roubaix
6/26/1963,Roubaix,Rouen
6/27/1963,Rouen,Rennes
6/28/1963,Rennes,Angers
6/28/1963,Angers,Angers
6/29/1963,Angers,Limoges
6/30/1963,Limoges,Bordeaux
7/1/1963,Bordeaux,Pau
7/2/1963,Pau,Bagnères-de-Bigorre
7/3/1963,Bagnères-de-Bigorre,Luchon
7/4/1963,Luchon,Toulouse
7/5/1963,Toulouse,Aurillac
7/7/1963,Aurillac,Saint-Étienne
7/8/1963,Saint-Étienne,Grenoble
7/9/1963,Grenoble,Val d'Isère
7/10/1963,Val d'Isère,Chamonix
7/11/1963,Chamonix,Lons-le-Saunier
7/12/1963,Arbois,Besançon
7/13/1963,Besançon,Troyes
7/14/1963,Troyes,Paris
6/24/1962,Nancy,Spa
6/25/1962,Spa,Herentals
6/25/1962,Herentals,Herentals
6/26/1962,Brussels,Amiens
6/27/1962,Amiens,Le Havre
6/28/1962,Pont l'Evêque,Saint-Malo
6/29/1962,Dinard,Brest
6/30/1962,Quimper,Saint-Nazaire
7/1/1962,Saint-Nazaire,Luçon
7/1/1962,Luçon,La Rochelle
7/2/1962,La Rochelle,Bordeaux
7/3/1962,Bordeaux,Bayonne
7/4/1962,Bayonne,Pau
7/5/1962,Pau,Saint-Gaudens
7/6/1962,Luchon,Superbagnères
7/7/1962,Luchon,Carcassonne
7/8/1962,Carcassonne,Montpellier
7/9/1962,Montpellier,Aix-en-Provence
7/10/1962,Aix-en-Provence,Antibes
7/11/1962,Antibes,Briançon
7/12/1962,Briançon,Aix-les-Bains
7/13/1962,Bourgoin,Lyon
7/14/1962,Lyon,Nevers
7/15/1962,Nevers,Paris
6/25/1961,Rouen,Versailles
6/25/1961,Versailles,Versailles
6/26/1961,Pontoise,Roubaix
6/27/1961,Roubaix,Charleroi
6/28/1961,Charleroi,Metz
6/29/1961,Metz,Strasbourg
6/30/1961,Strasbourg,Belfort
7/1/1961,Belfort,Chalon-sur-Saône
7/2/1961,Chalon-sur-Saône,Saint-Étienne
7/3/1961,Saint-Étienne,Grenoble
7/4/1961,Grenoble,Turin
7/5/1961,Turin,Antibes
7/6/1961,Antibes,Aix-en-Provence
7/7/1961,Aix-en-Provence,Montpellier
7/9/1961,Montpellier,Perpignan
7/10/1961,Perpignan,Toulouse
7/11/1961,Toulouse,Superbagnères
7/12/1961,Luchon,Pau
7/13/1961,Pau,Bordeaux
7/14/1961,Bergerac,Périgueux
7/15/1961,Périgueux,Tours
7/16/1961,Tours,Paris
6/26/1960,Lille,Brussels
6/26/1960,Brussels,Brussels
6/27/1960,Brussels,Dunkirk
6/28/1960,Dunkirk,Dieppe
6/29/1960,Dieppe,Caen
6/30/1960,Caen,Saint-Malo
7/1/1960,Saint-Malo,Lorient
7/2/1960,Lorient,Angers
7/3/1960,Angers,Limoges
7/4/1960,Limoges,Bordeaux
7/5/1960,Mont-de-Marsan,Pau
7/6/1960,Pau,Luchon
7/7/1960,Luchon,Toulouse
7/8/1960,Toulouse,Millau
7/10/1960,Millau,Avignon
7/11/1960,Avignon,Gap
7/12/1960,Gap,Briançon
7/13/1960,Briançon,Aix-les-Bains
7/14/1960,Aix-les-Bains,Thonon-les-Bains
7/15/1960,Pontarlier,Besançon
7/16/1960,Besançon,Troyes
7/17/1960,Troyes,Paris
6/25/1959,Mulhouse,Metz
6/26/1959,Metz,Namur
6/27/1959,Namur,Roubaix
6/28/1959,Roubaix,Rouen
6/29/1959,Rouen,Rennes
6/30/1959,Blain,Nantes
7/1/1959,Nantes,La Rochelle
7/2/1959,La Rochelle,Bordeaux
7/3/1959,Bordeaux,Bayonne
7/5/1959,Bayonne,Bagnères-de-Bigorre
